simulation_num,N,moves,seconds,word_count,word_list
1,2,39,0.2446,5,IN;MI;NIM;MY;YIN
2,2,28,0.2367,1,FUD
3,2,34,0.2441,2,PI;BI
4,2,40,0.2462,4,MM;MIM;MI;MIC
5,2,40,0.2531,3,TO;UT;OUT
6,2,40,0.2466,7,ID;MI;RID;DIM;MID;RIM;MIR
7,2,31,0.2388,4,EF;FE;VEX;EX
8,2,22,0.233,1,HM
9,2,29,0.2377,2,LA;AL
10,2,34,0.2431,3,ZA;AD;ADZ
11,2,20,0.2336,0,
12,2,48,0.2492,5,AGA;AA;AG;GAGA;GAG
13,2,30,0.2392,4,HA;AH;AL;LA
14,2,18,0.2331,0,
15,2,30,0.2412,1,MM
16,2,36,0.2477,1,WIG
17,2,41,0.2543,3,LI;RIG;GIRL
18,2,45,0.2499,2,UKE;KUE
19,2,16,0.2293,0,
20,2,31,0.241,2,BY;MY
21,2,22,0.2344,0,
22,2,16,0.2292,0,
23,2,48,0.2484,9,EFT;FET;FEET;TEE;FEE;ET;FE;EF;FETE
24,2,59,0.2623,16,SI;AS;PIA;PIAS;PA;PAS;PSI;AI;PIS;SPA;PI;ASP;IS;SAP;AIS;SIP
25,2,22,0.2329,0,
26,2,40,0.2463,6,ZA;ZAX;ZOA;AZO;AX;OX
27,2,35,0.2425,8,COP;POM;MOP;COMP;OM;MO;OP;MOC
28,2,20,0.2329,0,
29,2,20,0.234,0,
30,2,58,0.2725,9,DO;ODOR;OR;OD;ROD;DOR;DOOR;ORDO;ROOD
31,2,48,0.2499,12,ON;UM;MON;MUON;MUN;OM;MO;NOM;NU;NO;UN;MU
32,2,36,0.2347,7,NA;AN;AT;TA;QAT;ANT;TAN
33,2,16,0.2313,0,
34,2,22,0.2346,0,
35,2,34,0.2661,1,UH
36,2,34,0.2324,3,BE;ME;EM
37,2,46,0.246,2,CEE;ICE
38,2,50,0.2526,7,DOW;ID;DO;WO;OD;OW;OI
39,2,18,0.227,0,
40,2,38,0.2448,5,MA;AW;AM;MAW;KA
41,2,44,0.2485,8,FA;ARF;AR;FARD;RAD;FAR;AD;FAD
42,2,22,0.2343,0,
43,2,16,0.2393,0,
44,2,20,0.2238,0,
45,2,52,0.248,8,KI;KOI;OIL;ILK;LO;KILO;LI;OI
46,2,39,0.244,7,NOH;ON;HON;HO;NO;OH;HONK
47,2,20,0.2316,0,
48,2,26,0.2341,0,
49,2,18,0.2301,0,
50,2,47,0.2508,13,YO;ON;SOY;YON;OS;NOS;ONS;SYN;NOSY;SO;NO;OY;SON
51,2,38,0.245,5,IN;WHIN;HIN;HI;WIN
52,2,18,0.2287,0,
53,2,20,0.2315,0,
54,2,22,0.2313,0,
55,2,38,0.2426,8,YO;ON;YON;OF;FOY;NO;OY;FON
56,2,30,0.2297,3,DUN;UN;NU
57,2,22,0.2229,0,
58,2,28,0.2278,2,QI;XI
59,2,24,0.2196,3,QI;TI;IT
60,2,41,0.2315,3,FA;OAF;OF
61,2,16,0.2174,0,
62,2,18,0.2174,0,
63,2,36,0.2302,1,GO
64,2,42,0.2541,4,OS;TO;SO;SOT
65,2,26,0.2409,0,
66,2,28,0.2225,1,HM
67,2,32,0.2234,4,AT;QAT;TAJ;TA
68,2,34,0.2254,1,SYN
69,2,34,0.224,4,FIG;IF;MI;MIG
70,2,35,0.2252,2,DUTY;UT
71,2,22,0.2155,0,
72,2,16,0.2175,0,
73,2,24,0.2202,0,
74,2,28,0.2305,0,
75,2,36,0.2435,7,SI;SIX;SIC;CIS;XIS;IS;XI
76,2,42,0.2672,3,IRK;KI;KIR
77,2,22,0.2328,0,
78,2,38,0.2473,5,YO;YOU;YOK;YUK;OY
79,2,42,0.2545,5,SI;SIC;CIS;IS;ICY
80,2,22,0.2566,0,
81,2,22,0.2363,0,
82,2,20,0.2337,0,
83,2,30,0.2373,0,
84,2,24,0.2375,0,
85,2,24,0.3186,1,HM
86,2,40,0.2975,5,PEA;PA;PE;APE;AE
87,2,16,0.2415,0,
88,2,44,0.252,6,OBI;OI;BIO;BIZ;BO;BI
89,2,53,0.2816,11,OBI;DIB;ID;DO;OI;OD;BIO;BOD;BI;BO;BID
90,2,35,0.2384,0,
91,2,20,0.2377,0,
92,2,18,0.2444,0,
93,2,22,0.2458,0,
94,2,44,0.2497,8,ON;JIN;IN;JO;NO;OI;JOIN;ION
95,2,47,0.2478,10,OCA;DO;CODA;OD;ODA;COD;ADO;DOC;CAD;AD
96,2,40,0.241,6,WO;OW;HOW;HO;WHO;OH
97,2,32,0.2441,0,
98,2,30,0.2371,2,JAW;AW
99,2,40,0.2493,2,PI;BI
100,2,34,0.2379,5,GIB;BIG;ZIG;BIZ;BI
101,3,706,0.495,81,AIRS;RAM;SAMEK;LARK;RAIS;MEW;ARK;LA;REI;IS;AIS;KIER;SIR;AIR;MARK;LAR;SARK;IRK;RAI;ME;WE;MAIRS;KI;ALME;MARS;SRI;SAL;RE;LARI;AI;MARE;MERL;MERK;RIAS;KEIRS;ARS;EM;WEIRS;LARIS;SIKE;LAME;SI;AS;REM;LAMER;RIAL;ERS;REIS;MAR;LAM;KIERS;SIKER;KIRS;ER;LAIRS;KIS;ARE;LAS;ERAS;MAS;RIA;AL;ARM;WEIR;MA;SAME;AR;SIRE;KEIR;AM;SARI;LAIR;RAS;MAIR;SIAL;KIR;IRE;KRIS;MARL;LARS;ERA
102,3,382,0.346,24,GUL;LEU;WE;EF;FLEW;ELF;FE;FLU;FLUE;GEL;WEN;LUGE;NE;NEG;NEW;EN;FEN;FEU;GEN;GULF;LEG;FEW;EL;LUG
103,3,627,0.4121,93,DRABS;DAB;GRABS;ADO;AHS;GAS;OAR;AG;HAG;HAO;BAG;SHARD;ODAS;OD;DARB;DAH;OARS;GARB;BRASH;BASH;SARD;DRAB;BARS;ARB;BOARS;AD;BOA;DAGS;HAD;AGS;BAH;BRAG;DAG;AB;SH;OBAS;SAD;BOAS;BOAR;BAS;BOD;ARS;DRAG;RAD;SHA;AS;GASH;AH;RAGS;BA;GARS;OBA;GRAB;ABS;HAGS;ODA;ASH;DRAGS;RAH;BRAD;HAS;DAHS;GAB;BRA;BO;ODAHS;BRAS;HA;DABS;HARD;DASH;SAG;GAD;BARB;RAG;RASH;BAGS;AR;GABS;ODAH;BAR;GRAD;BOARD;DO;RAS;GAR;BRAGS;SHAD;ABO;BAD;BARD;SHAG;SAB
104,3,526,0.4377,30,MINIS;SIC;MI;RIN;CRIS;SIN;VIS;VINIC;NIMS;MO;IS;MIS;OI;MIC;RICIN;IN;NIM;ISM;SIR;SI;SIM;RIMS;MINI;OMS;OM;CIS;VIM;VIMS;RIM;MIR
105,3,153,0.2715,8,ZITI;ZIG;ZIT;IT;TI;GIT;ZIGS;XI
106,3,287,0.3081,15,SI;SKY;SIPS;SYNC;SYNCS;PISS;SPY;PSI;SYN;PIS;PI;PSIS;IS;SIS;SIP
107,3,252,0.2879,20,ROCK;ROC;MOCK;MORN;NO;MOC;ON;ROM;MOR;NOR;COZ;MO;CORN;MON;OR;COR;CON;OM;NOM;NOCK
108,3,495,0.3774,51,NOWTS;TO;TOWNS;NOW;OW;SOWN;SWOT;TOWS;NO;FANOS;FAN;WOW;SNOW;WOST;ON;TWOS;FANO;FAST;NOWT;FA;WO;ONS;WOS;WOT;TOWN;FAS;WOWS;AFT;STOW;SON;TONS;OWN;AN;OWNS;SOT;SNOT;NOT;OS;AS;NA;NOS;FANS;TWO;TON;WON;NOWS;TOW;WOTS;SOW;SO;WONS
109,3,126,0.2568,2,MYC;MY
110,3,276,0.3093,18,CRU;CUR;URN;UM;MURK;YUM;MUN;MURKY;CRY;CUM;MYC;NU;UN;RUN;MU;MY;CURN;RUM
111,3,93,0.2743,1,SH
112,3,352,0.3177,16,AHA;PA;AA;HA;AG;AGHA;HAHA;PAPA;AAH;AH;PAP;GAP;HAG;HAH;HAP;PAH
113,3,300,0.3306,31,GENU;KEG;NEGUS;ZEK;GUNK;KENS;NUS;PEN;SUN;US;GUNS;SUNK;GENUS;ENS;UNS;GUY;PENS;ZEP;NE;KEN;NEG;EN;KEP;GUN;GEN;SNUG;PEG;GENS;PE;UN;NU
114,3,171,0.2794,1,BI
