simulation_num,N,moves,seconds,word_count,word_list
1,5,1020,0.4571,34,OI;LOG;IF;OW;HOWF;LOB;BOHO;WIG;BO;FOH;OHO;JOHN;FOHN;WO;RIG;HOW;WHO;FIR;GO;OH;RIF;QI;BOG;JOW;OF;LO;VOW;HOB;HOG;GLOB;GOB;JO;HO;BLOG
2,4,1038,0.4964,53,OAR;MOJO;MAR;MA;AR;OR;OI;CAW;AW;ON;VINY;RAM;CAM;OMNIVORA;CAMO;ORA;OM;ARC;YON;YOM;IN;MACRO;MAC;MARC;YO;MAW;MONY;VINO;MON;JOY;ION;AM;ORCA;ARVO;YONI;ORC;NO;CAR;QI;OY;MOA;RAW;NOM;JOIN;AMNIO;WAR;JO;JOMON;CRAW;MO;YIN;NOMA;CRAM
3,5,1439,0.5767,57,TIN;VEIN;RIVET;BIS;OP;RIVE;KNIT;RIN;SI;TINCT;TI;KEIR;BOB;BI;TRITE;BO;RINK;SIB;IN;OBI;RITE;JOB;JIN;OBIS;TIE;CRIT;KIN;JOBS;KIT;VIE;VET;ET;TRINKET;BOP;KIR;TIKE;TRIVET;KIRN;KI;VIVE;KITE;NITE;IT;QI;TRIKE;IRK;INK;NIT;TRIJET;JIVE;BOBS;QIS;TINT;JET;JINK;JO;IS
4,4,1288,0.5172,73,RYE;PLED;DRYS;OR;DREKS;ER;LYES;DRY;LED;DELS;ED;OE;YORE;YES;ES;YORES;LYSE;ELS;SLED;PLYER;ORES;KEY;KEYS;OYES;YELL;LYSED;DELLY;YELP;LEY;KELP;PLY;YO;YE;VOES;DE;RYES;DEL;REDS;LYRE;YERK;SEL;OYER;RELY;ROE;KELLY;ROES;RED;RE;SER;ORE;DEYS;DELL;SELL;SKELL;VOE;SKELP;SLY;LEYS;LEKS;DEY;LES;EDS;OY;DESK;RES;EL;LYRES;DREK;ELL;SLYER;OES;LEK;LYE
5,5,2036,0.666,123,TWAS;HELLS;AW;DAHS;GAL;SHAWS;JAWS;SAW;TI;ILLS;TILE;HALL;TILLS;JUDAS;HEIL;WAWL;WAWLS;SLAG;JUG;SAG;AHS;SWASH;DALS;LAG;JAG;HAS;HA;ILL;LIT;HIT;EL;HAG;JUGAL;WAG;SALL;JUGA;DAH;AWL;SAD;DUG;WAWS;SAL;ZILL;SHWA;AWLS;AS;SHAW;GAS;JAW;HE;ZILLAH;WHA;ZIT;GALS;HAW;SLAWS;TILL;SHA;ASS;GAD;AH;ELHI;ELL;SHALL;LA;LASH;LI;DASH;LAW;HILL;GALL;DAW;LAWS;WAS;LEI;DAG;ASH;TIE;SH;HIE;LAD;SAWS;SLAW;HILT;LASS;DAWT;WAD;TWA;ELLS;ZILLS;ZILLAHS;SHAWL;WAW;AG;HELL;AD;CUD;AL;SHAD;HILLS;DAWS;DUCT;SHAG;HI;WALLIE;ALS;DHALS;HADJ;ALL;LIE;WALL;EH;DHAL;SWAG;HAWS;HAD;TIL;GASH;HAJ;DAL;IT;LAS;WASH
6,5,2924,0.9763,101,ROUPY;UN;EMS;SPRY;ES;LINIEST;NE;RYA;RINK;INKIEST;SRI;PURRS;PURR;APPS;AY;YAUP;PURLINES;URP;URPS;UPO;INK;NIL;POUR;YUP;NU;KILN;PA;INS;RINS;PURLIN;LIENS;ROUP;PRY;PURL;LININ;ROPY;IN;YUPPY;SEI;PYA;EN;LIEN;SPY;LIES;KINE;PAY;KIRN;KI;YAP;APP;POPPY;NINE;MY;PRO;STY;LININS;OUR;OP;KININS;ESPY;LI;PURLINE;PRINK;PUR;ILK;KININ;UP;LINE;KIRNS;PROP;KIN;KINES;KINS;NINES;MEN;ME;ENS;SEN;NEST;OR;LINK;RINSE;RIN;POP;PRIES;LINES;LIN;LIE;YA;KIR;PST;PRIEST;PURLINS;TYPP;TYPY;UPPROP;KIRS;APO;KILNS;EM;LINS
7,5,1123,0.4671,54,QOPHS;QOPH;OP;SOP;BES;GYBES;IF;FAS;SKY;YES;BEG;ES;BOY;GEY;SKYEY;BE;AS;SOY;ZAS;OPS;ASP;BOS;BI;BO;BEY;SEG;BEGS;YO;SOPH;YE;SH;KYE;BYE;SPY;OS;BYES;BOPS;BOP;BY;ZA;FIB;GYBE;IFS;FA;OY;SOB;SO;SOPHS;FIZ;BIZ;KYES;AI;BEYS;YOB
8,6,1502,0.5707,49,PRIMP;AL;AWL;CRIMP;CAW;AW;LA;LAV;MIR;OLLA;LOCK;KENS;LI;IMP;LAW;COL;NE;MI;MIL;COKE;KEN;PRIM;VAC;FLOC;CWM;FLOCK;FLAW;RIM;VAW;WAWL;WENS;CALF;ALL;WALL;EN;NEW;CLAW;CALL;ALP;LIMP;LAC;WEN;WIMP;ENS;WAW;JEW;OKE;LO;WE
9,3,387,0.3443,19,PA;VIA;FAY;IF;YAH;PAH;HAY;AYAH;HAP;AY;YA;PAY;YAP;AVA;FA;HA;AI;AH;FAVA
10,5,2732,0.8105,120,UN;BUNYA;ANT;ODA;BUNA;MOT;ANY;VAT;OCTAN;TOD;BUN;VAV;ONTO;MOAN;TAO;MAC;TACO;ZOA;DATO;CAY;AY;TAD;AN;OCTAD;CEE;COMA;DOAT;CECA;NUBBY;CAT;CAD;DOC;MATZA;NU;MA;COT;COTAN;AVO;ADO;OAT;COME;OM;ATOM;COD;JAY;OCTAVO;CANT;OVA;BUNT;BUY;ACME;TACE;COZ;MOC;BY;NOD;MOA;CAN;EJECT;MOD;AJEE;NA;CANTO;CANTY;MAT;DONA;MAN;MAD;DO;TAN;TOME;ZAX;DOTY;TOAD;MANY;VAC;OD;TAV;TA;OCA;NOVA;TOM;ACT;DON;AX;TOMAN;ME;EJECTA;DOME;MOME;AD;VAN;TO;ONYX;MOM;DOT;ON;DACE;DAN;CAM;COAT;MACE;CAMO;NUB;MOAT;MANO;DOM;YA;AM;ACE;ZA;NAM;JEE;NO;AT;UNTO;TAM;EM;MO;DAM
