simulation_num,N,seconds,word_count,word_list
69,5,0.4245,69,WE;MACE;AM;ACME;MEW;AY;YE;WOG;FAME;OW;FA;KAF;FEY;OAF;OF;YAM;QUIZ;WO;EM;KAY;FE;ECU;JAM;WEAK;KAME;YEW;KA;GIE;FEM;ME;ZIG;YA;EF;CAM;ICY;CAME;OWE;GOA;ICE;KAE;FYCE;AW;QI;WYE;MAY;CIG;MAE;CAKY;QUA;FEW;FAY;MA;JAY;CAY;ACE;QUAY;WOW;EAU;YUCA;AE;YAK;YEA;GOWD;FOG;QUAKY;GO;FACE;XI;MAC
70,3,0.2871,24,AN;NE;KEA;ANE;GENE;EN;ENG;AKENE;NA;KA;EGG;EKE;KEG;HENGE;KAE;KEN;HEN;HE;GEN;NEG;EH;NAE;AE;KANE
71,2,0.1832,5,OS;SOP;OPS;OP;SO
72,2,0.1871,7,ZAS;ZA;AI;IS;AIS;AS;SI
73,3,0.2346,19,HO;TIRO;THO;OH;THIRL;LITHO;VIRL;HI;TIL;IT;RHO;THIR;TIRL;LIT;LI;OR;THRO;HIT;TI
74,5,0.6451,144,SOPOR;UM;ORB;BOTT;ROTOS;POT;ORZOS;BUD;BOO;UN;XU;TOG;STOOP;BROOD;GOD;US;TO;FUSS;ORBS;PROSO;POSTS;TUX;DUBS;BRO;ZOO;POOD;TOR;SOB;TOPO;ORZO;MUN;BO;OOT;DOOR;POTSY;POST;DOTTY;GORP;ROB;POOS;STOB;SO;BOX;POX;BROO;GOR;SOOT;POD;FUN;STOOD;MUS;ROOTS;POSSUM;BOSSY;ZOOS;MUSTS;MUSS;ROOD;MY;BOOST;TUB;BOT;DOR;TUBS;DOTS;BOOR;UT;TORO;ROOSTS;BUT;GOO;PRO;POO;PROSS;ROOT;SOTS;GOOS;ROTO;SOD;ROBS;TRYST;ROOST;OP;PROST;TOSS;TOPOS;POTS;STOP;DOG;NUS;MU;BROS;BOSS;ROD;FUND;DORP;POOR;OOTS;SOOTS;SOX;TRY;PROD;BOP;DOST;SOT;SORB;BOOSTS;GOOP;SUN;DO;SOP;DOSS;GOS;MUST;NU;PROG;FUMY;BOOTS;OPOSSUM;BOOS;BOOT;STOBS;TRYSTS;OD;TOD;DOS;TOO;ROTS;DUB;BOS;POTTY;SUM;OS;OR;ROT;BROOS;GOT;TOP;BOTS;TOROS;PROS;GO;DOT;OX
75,5,0.3178,39,GUN;EL;YE;MM;NE;DUG;NU;QUEY;EX;EN;EDH;UN;NUDE;XU;KEX;DUN;DELF;HMM;END;DE;DEL;HM;VUG;UNDE;DEN;ELF;DUE;LED;ED;VEX;HE;GUDE;WUD;KEY;EH;FLED;GUV;DUNE;KYE
76,3,0.3276,51,GETS;REM;REIS;REST;EGIS;REG;GEM;REGS;STEM;TET;MET;EGGS;SER;EM;TEGS;GIES;TEG;TRET;ER;IS;ERS;RES;GIE;ME;MEG;EGG;MEGS;ERST;SEG;TRES;STET;ERG;TETS;ET;SEI;GIST;TERM;ES;SI;TEGGS;IGG;GEST;SET;GET;TEST;RE;REI;RET;TEGG;RETS;GERM
77,2,0.1795,1,HM
78,5,0.4636,70,HO;REG;DO;GEM;OH;OW;DOM;PE;DOW;WO;BEG;EM;EPHOD;EGER;EX;HOME;VEXER;OD;HEX;PEH;HOB;ER;REX;RHO;DOME;BOO;DREG;WOO;BOW;HOW;ME;MEG;MOO;WHOM;BOHO;MOZO;OHM;HOD;ERG;ZOO;HM;MOW;MHO;ZOOM;HEXER;WHO;WOOD;BOZO;HEP;VEX;OOH;BE;OM;HE;VEG;EH;MOOD;HOBO;RE;BO;HEM;HOOD;MO;MOB;BOD;MOD;BOOM;DOOM;DHOW;OHO
79,5,0.3512,47,CEL;AM;RAW;EL;OF;ZEK;FOLK;ELK;DREK;MAX;REC;KELT;CAR;CWM;ER;WAX;LEZ;ZED;OFT;CAW;DELT;LOFT;CAM;CELT;CRED;LO;RAM;RED;LEK;DE;DEL;AW;AX;RAX;OLE;AR;ED;LED;MA;MAW;OKE;DERM;RE;MAR;DERMA;WAR;MAC
80,2,0.1795,1,BY
81,2,0.1868,3,US;FUD;FUDS
82,2,0.1925,5,AVE;EAU;VAU;AE;UVEA
83,3,0.2746,32,AY;SOW;OW;SAL;ALOW;LAY;WO;SO;AL;SAY;VOW;ALSO;SALOL;LOW;SLAY;YO;YA;LOYAL;LA;OY;LO;SLOW;OS;SOL;LAS;WOS;SOYA;AS;YOW;ALS;SOLA;SOY
84,5,0.5265,106,HO;EL;CON;BLENDE;CWM;FEOD;CODE;EF;HON;LIDS;LENDS;LID;BLENDS;CEDED;HEN;DEBT;PLED;BEND;CEDE;BED;HONDLE;FONDLED;NE;ODE;BEDEL;ON;NOEL;COED;FON;CWMS;FED;HONED;DONE;FOND;BLED;DEF;CONED;ENDS;OE;PLEBE;HOE;DOE;BE;HE;COD;FONDLE;ONE;BLEND;PLEB;CODEN;LENO;HEBE;FONDS;FOH;EN;FOE;ZED;DELT;HONDLED;FEH;HELPS;HOED;LI;END;ELDS;DON;DEN;HELP;BELT;EH;NOD;BENDS;IDS;DECO;LEND;DO;OH;OF;DOC;OHED;FE;CONE;OD;FONDED;CODED;IDLE;IDLED;NOH;ELD;HOD;DEL;DE;HONE;EON;NEB;NODE;HELD;BEL;DEB;ED;LED;NO;BEN;PLEON;ID;SLID
85,5,0.3669,61,RUDD;RUG;FRO;ORC;DO;FOX;COR;OW;OF;DUG;DOC;COX;CRUDDY;DOW;FUR;FUDDY;CROWD;WO;DUROC;GROW;FRUG;COW;OD;JOT;TOW;TORC;TOD;FROW;ORGY;FUG;DUD;FUD;CROW;BYS;TWO;RUDDS;TO;JOW;DUDDY;CRU;CRUD;OR;RUDDY;ROT;TOFU;ROD;ROC;TOR;ROW;WOT;BY;FOR;CORF;COD;COT;JO;DOR;DOT;OX;GROT;DURO
86,5,0.8139,180,JARL;PARER;LUG;AREA;LAY;REAPS;ERA;REPS;ACYL;GRASP;PE;KAY;PAREU;CARER;LARI;TEG;ASP;ARK;PUGREE;CARE;YARER;PEG;KIR;REP;PEA;RAKI;US;ARGUER;ICY;PREE;UPS;ET;REE;ARGUS;SPEAR;RIAL;LACY;KREUZER;ZEE;CALQUE;RE;ARGUE;SPARE;AREPAS;SPREE;PARGET;REAP;GEE;CARPER;SPA;CIRQUE;SULCI;CLAQUER;REG;ZA;AY;RASP;AIRER;QUEER;SPAZ;PERI;EGER;SARGE;AL;GREE;IRE;ERAS;PULA;PUG;PAS;CIRE;YA;LAREE;SPUE;IRK;SAREE;PER;PEAR;ERE;ZAP;AREAS;GRASPER;JAY;CAY;TEGULAR;PAR;RASPER;YAK;ZAPS;LAIR;APE;SAE;RAY;RAPER;AI;ZUZ;ARE;RAPE;SPARGER;CAR;LARK;SPARER;ER;SAP;EGRET;RAPS;RYA;AIR;PARE;KA;REGULAR;PRICY;SPAE;PUL;PAREUS;PARGE;SPEER;SPARGE;LAR;CARP;GUL;CARK;PA;AS;AERIAL;SUP;TEE;REAR;LAIC;GREET;PERE;PEE;RET;AE;REGRET;APER;KI;SUE;JAR;LUGE;PERK;YARE;CAREER;UP;SPRAY;GEAR;EAR;LAC;SUER;RAP;CARL;GRAPE;CLAQUE;ZAS;AREPA;CLAY;SUQ;RAJ;LA;SPAR;ERG;ASPER;PEER;RACY;AR;PUS;GULAR;YAR;CLUE;GEEZ;RIA;PEAS;GET;LUGER;RAS;CARPS;PRAY;ERICA;PREZ;RAI
87,5,0.457,48,JOYPOP;BITTY;KOI;KIP;POI;IKON;OF;BI;PIKI;BIT;NOB;ON;YOK;FON;IT;KOB;OBI;YO;FIB;OP;POKY;OBIT;FIT;OY;JOKY;OPTION;KOP;PIP;KOJI;BIO;OI;PI;BITT;PIPY;IF;NO;OPT;JOY;BY;BO;FOB;BOP;JO;POP;ION;KI;FOP;TI
88,2,0.1925,6,AXE;OE;AE;AX;OX;EX
89,5,0.5854,83,KEMPT;APPEL;EL;ACYL;PE;EM;KEPT;PEAK;PACK;PEA;ME;LEAP;ELMS;APPLY;PAC;LUCK;KAPH;PACE;KELP;PUR;LEAK;CAPH;YLEM;CAKEY;ECU;CAPE;YCLEPT;KEP;URP;KLEPHT;GLEY;CLEPT;MEL;APPLE;PACEY;PACY;APE;PEP;CEL;PACKLY;KEA;LYE;ELM;YUCK;LEA;PLY;KA;CEP;YEP;PECK;PA;YUK;PEC;YLEMS;AE;LEY;YEA;KEY;LEPT;UP;YELK;YE;APP;ELK;KEMP;LYCEA;PAP;LUCE;CAKE;PHT;KAE;LEK;APT;YELP;LEAPT;ACE;EMS;YUCA;CAP;PLEA;CYCLE;YUP;KYE
90,3,0.2032,6,YEP;YE;PYX;PE;PYE;EX
91,2,0.1895,7,DIG;IN;GIN;ID;GID;DIN;DING
92,3,0.2889,28,MARL;AM;ARC;MARC;AI;ARM;CAR;CARL;MI;AIM;AIR;RAMI;CAM;RAM;AR;MA;RIA;MAIR;RIM;CRAM;IMAM;MAR;AMI;AMIR;RAI;MIR;MAIM;MAC
93,5,0.5553,112,THARMS;WHAT;AH;BARM;ZEP;SCAR;SHA;TA;PE;TUSH;RACE;VACS;ARMS;CABS;RATS;HUT;STARVE;ABS;SCAT;US;ZEPS;BAHT;HARM;SPEC;RAT;BAR;TABS;VATS;CEPS;CARVE;BRAVE;SCART;BAHTS;SHAT;BARMS;CATS;TRAVE;CARB;ZA;AVE;RAH;BRA;TARTS;SH;ARM;SCATS;HART;ARTS;HA;TAHR;BARB;STARTS;HAT;VAT;SHUT;BA;SCAB;BATS;HATS;SCARTS;HARMS;STAR;STAB;TART;BRATS;THRAVE;UT;ART;STABS;CAR;UTS;WHATS;BRACE;ARB;CEP;VAR;THARM;BAH;WHA;SUTRA;CART;CAVE;PEC;RHUS;TRACE;CAB;TAB;TAV;THAT;VAC;HUTS;THUS;PECS;AT;SHAVE;AB;CAT;WHARVE;AHS;START;BAT;TAR;RAVE;AR;TACE;UH;BRAT;ACE;HARTS;CARTS;STAVE;HAVE
94,4,0.2985,23,EL;ZEK;ELK;LEKE;EKES;SELS;LEZ;SEL;XU;ELKS;US;EKE;LUX;LEK;OE;ES;ELS;LEKS;ELF;ZEKS;SELF;ELSE;LES
95,5,0.3411,50,HO;OH;SH;SHOP;OHS;TOM;CUD;PHON;NOM;DUCK;POT;ON;DUH;NOT;RHO;HOLT;QOPH;LOP;POM;OP;MOLT;TO;NOH;HOP;TOPH;LO;HON;HUCK;TOPHS;HM;SHOT;MON;LOT;OM;MOP;NO;UH;POH;TOP;OPT;WUD;MO;POL;MOL;QOPHS;HOT;VOLT;TON;PHOT;MOT
96,4,0.2595,36,KEF;HO;MEN;OH;NE;ZEK;NTH;EM;HOKE;EX;FE;FEN;EN;NEXT;HEX;OKEH;ME;FEM;FEH;EF;KEX;KEN;HM;KENT;FEZ;ENVY;HEN;HE;THEM;THE;EH;OKE;HEM;HENT;THEN;HENRY
97,3,0.2021,5,EBB;PE;VEX;BE;EX
98,3,0.3051,40,WE;WHAT;HABU;AH;TA;HI;AT;HUB;AB;TAWIE;WAB;TAW;HA;THAW;TAU;WAT;AHI;BAT;AWE;TABU;BAHT;HAT;AW;WHA;BAH;BA;HEW;WHEW;UH;HIE;HE;THEW;EH;THE;BATH;TWA;HUE;HAW;TAB;BATHE
99,3,0.2232,15,HAJ;JAM;AD;DAM;AM;HAD;AH;HM;HADJ;HA;MAD;HAM;DAH;MA;HAH
100,3,0.2794,46,APSE;SAE;APEX;HEH;SH;PE;ASH;SHE;EX;FE;HEX;PEH;SHEA;FEHS;ASP;SAP;HES;PASH;PAS;EFS;PEA;FEH;BES;SPAE;EF;PASE;SEA;APES;ES;FES;AS;HEP;PA;PES;BE;HEHS;PEAS;HE;EH;HEAP;SEX;PEHS;AE;HEAPS;APE;SPA
101,3,0.2093,19,AM;KEA;MAX;EX;EXAM;WAX;KA;WAKE;MAKE;KEX;KAE;AXE;AW;AX;MAE;MA;MAW;AE;WAE
102,3,0.2334,30,WE;ZA;SLAG;SAL;LASE;GALS;AG;EX;ZAXES;AL;ZAS;GAS;SEW;LA;ZAG;ZAX;AXE;LAXES;AX;ES;SAX;SAG;LAS;AS;LAX;GAL;SEX;ALS;LAG;AXES
103,4,0.337,22,FRO;ORLOP;POLY;POLYS;PRO;FRY;YO;LOP;OP;PRY;OY;LO;LORY;ROPY;OR;DRYS;ORS;DRY;PYRO;POL;LORD;POLO
104,2,0.1933,3,ILK;LI;KI
105,3,0.2137,4,FLIR;HI;VIRL;LI
106,4,0.3385,37,SH;SAC;UM;SOKOL;ASH;COX;JUS;SO;COS;CASH;COSH;MUS;JOCK;US;HUMS;SUM;LO;JOCKO;KOS;JOSH;OS;HM;MU;VOX;AS;HUM;SOJA;UH;LOX;SOX;SOCK;JO;MUSH;SAU;SOCKO;OXO;OX
107,4,0.2545,14,BUY;BY;LO;JUKU;JUG;GUY;VUG;MO;BUG;JO;GUV;MOL;YUK;OM
108,2,0.175,0,
109,5,0.4841,99,AM;YUM;MUMP;UM;TA;TRAM;YAM;MAX;PAY;PUMP;IAMB;TRAMP;HUT;HUP;RAMP;PIT;RAX;RAT;TIP;PUPA;AMU;PUP;BRA;AY;MM;PAT;AMP;HUMP;MAP;IT;TUP;PITA;YA;PIA;PUMA;AX;TAX;THY;TAMP;UMP;PAR;TAM;MY;PYX;TRAP;YIP;UT;RAY;AI;ART;THUMB;PAM;THUMP;UMM;PUT;PIX;MAT;ARB;TRAY;RAM;MU;PA;HUM;MA;THUYA;MAR;UMBRA;MUM;XI;HYP;UP;BRAXY;AT;RAP;TAP;PUPU;YAP;PAX;PHT;TAR;HMM;HM;MART;MAY;AIT;PI;AR;PHUT;PYA;YAR;BRAY;UH;BRAT;MAXI;TAXI;YUP;RAI;TI;PART
110,2,0.1733,0,
111,3,0.1921,0,
112,4,0.2946,28,DEFI;ZA;BED;AI;BEG;FE;ADZ;GED;DIF;AD;FED;AID;ZIG;EF;DEF;YID;DE;JIG;FID;DEB;ED;BE;FIZ;FIG;DIG;ID;IF;GID
113,5,0.3438,28,GUN;UT;PST;UP;LUV;NU;KLUTZ;LUTZ;STUDS;STUD;POX;UN;XU;PUG;YO;DUD;PUN;OP;PUNT;DUDS;UTS;PUNTS;OY;LUX;TUX;VOX;UPO;OX
114,5,0.5343,80,WE;AM;GAE;PE;EM;AG;TEAK;TEG;XU;PEAK;PEG;PEA;ME;MEG;QI;ET;GAP;EME;MAW;PEAG;AGE;TEEM;GEE;MEW;EX;MAP;QUAG;TEPA;GAPE;WEEP;AXE;PET;AX;PAGE;EAUX;PEAGE;MEET;EAU;WAE;APE;PEP;GEM;TEW;QUIZ;MET;PAM;TEAM;WAP;WAW;KA;WET;MEGA;WEE;AWE;MAE;PA;AGMA;MA;TEE;TEA;METE;PEE;AE;KAPA;AGEE;APP;WAME;WEAK;PAX;PAP;AWEE;PEEP;KAE;AW;PAW;QUA;PAPA;GET;PEW;APEAK
115,4,0.4199,68,KINO;KNOLL;UP;PIN;TIN;KIP;BULL;OINK;POI;BI;KIN;QUBIT;OXIM;BIT;NOM;PION;ON;IT;PINK;PUB;MI;POX;PLOP;XU;PIX;LOP;POM;OP;MIXUP;MONK;PUL;LUX;NIT;LO;PIT;MIX;PLONK;LOIN;QI;MON;OI;POLL;PI;TIP;KNIT;OM;MOP;NIX;NO;KIT;LOX;INK;KNOP;IN;MOLL;MINK;OX;MO;NIM;POL;PULL;NIP;ION;MOL;KI;XI;TI;BUXOM
116,3,0.1987,4,NTH;TUX;UT;XU
117,2,0.1816,0,
118,5,0.6465,127,YEAH;YOU;AM;MEN;YAH;AH;GAM;YAM;EM;AG;GAMA;GAN;YEAN;ANOA;HAME;ME;MEG;MANGO;AHEM;NEMA;PYE;YAMEN;HEN;GEN;ANGA;ANA;GUY;GAME;MEM;YOGA;NAE;AGE;MANE;HEY;NAY;GYM;HAY;MANGE;AY;NE;ANE;NAM;ON;ENG;AGONE;HAYEY;PUG;MAGE;HA;YO;YA;NAME;OY;MANGA;AGO;HANG;AMA;HE;MY;MENO;PYX;ONE;AYE;OGAM;HAE;GEM;HYENA;GEY;YUGA;GANE;YON;EN;MAG;GENOA;HYMN;NOG;NA;YEH;MEGA;HAM;ZYME;AMEN;EGO;HAEN;MAE;GOY;MANGEY;MA;PYGMY;NEG;NAG;EH;AE;YEA;YANG;GAMEY;GOA;GONE;GAMAY;HYP;UP;YE;NAH;AN;HYAENA;YEN;PYGMEAN;MAN;HM;MAY;MAYHEM;PYA;MEAN;NO;HYMEN;MANA;GYP;MANAGE;AMAH;HAEM;HEM;MANO;GO;YUP;MANGY;AGON;HANGUP
119,2,0.1788,0,
120,2,0.1968,5,EF;FOE;OE;OF;FE
121,3,0.2082,10,JINX;IN;JIN;ZING;GIN;JIG;ZIN;XI;ZIG;NIX
122,2,0.1748,0,
123,3,0.2252,17,MY;YUM;MUN;UN;HM;NU;MU;HUN;FUMY;FUN;UM;FUR;RUM;URN;RUN;HUM;UH
124,4,0.2993,36,WE;HYP;LYES;YE;YEWS;BI;BIZ;LYE;FLY;WILY;YEW;ILL;HES;SWILL;SEW;YEH;LYSE;LI;WILL;HEWS;QI;WYES;WYE;ES;WIZ;SYLI;HEW;PYE;HE;ZILL;LIB;EH;PYES;BILL;YES;HEY
125,5,0.3285,28,NUB;NUMB;NU;UM;PE;HUB;PEH;UN;BUB;UGH;KEP;BUNK;BUM;BUG;MU;HEP;YUK;UH;HE;BUY;BY;EH;MUN;BUN;GUY;HUG;BUBU;UKE
126,4,0.2579,10,RULY;RUFF;LUV;HUFF;LUFF;PFUI;FUR;ULU;FUZZ;UH
127,3,0.2189,16,IRE;DEX;RED;REX;ER;RE;DE;REI;QI;VIED;VIE;IRED;XI;ED;EX;VIER
128,5,0.4377,70,NOSH;SHMO;VIS;OPUS;PUSH;PUR;PONS;SIR;SOP;UP;OF;SOPS;PURI;FOPS;SIRUP;SH;SON;MOS;NOM;SUPS;SO;ON;SONS;FON;INFOS;IS;VINO;VINOS;NOS;POSH;POM;OP;US;PSI;MOPS;ONS;UPON;OS;UPS;HM;MON;INFO;SHRI;OPSIN;SPUR;OFF;SI;OM;PUS;NO;SPURS;MOP;PURS;MONS;SUP;SIN;RUSH;MY;IN;OPS;SIRUPS;SRI;INS;PURIS;MO;MOSH;SOM;UPO;FOP;FONS
129,5,0.5175,109,HUES;YUM;SHY;SCUM;UM;EGGS;SER;CRUX;CRUSES;REX;XU;US;EGG;VUM;SECS;MUSER;CRUXES;MUCH;ES;DRYS;RUSES;CRUSE;BYE;RE;YES;MUSH;XERUS;CUES;REG;SH;SUCRE;EX;ECU;MURE;RES;MUS;RUSHY;CRUS;CUB;YEGG;CUM;BUY;RUSH;DRY;RUM;USE;MUHLY;MUSE;GEY;REC;CUR;RECS;ER;RYES;SURE;SHYER;MUSHY;SUCRES;USER;BUM;SERUM;LYSE;CRU;RUES;DRYER;MU;YUCH;YUK;HUM;MURES;MUSES;BUYER;CUE;CRUSH;CUSHY;EYRY;SUES;GERM;SUE;ECRU;CRESYL;YE;REGS;USES;SLY;BYES;SUER;CURE;ECRUS;MUREX;RUE;SCRUM;SEG;SUM;SEXY;RYE;GEUM;ECUS;CURES;YEGGS;UH;BY;SEX;SEC;SEGS;HUE;RESH;LYSES;RUSE
130,3,0.2432,22,NUB;NUMB;NU;UM;EM;BUCK;UN;CUKE;MUCK;NUKE;KUE;ME;BUM;CUB;MU;CUM;CUE;BUN;MUN;EMU;MUM;UKE
131,2,0.1827,1,BY
132,4,0.24,14,LEX;ON;NOEL;JEON;EL;LEZ;OE;EON;JO;NO;SLY;OP;EX;JOE
133,2,0.1856,0,
134,2,0.1825,11,OD;ON;HO;NOD;DO;HOD;HON;OH;NOH;DON;NO
135,5,0.425,59,ORC;UP;VIS;DO;BIRO;BRIO;OW;POW;COWY;PFUI;BI;DOC;ORB;BIZ;DOW;WO;CUD;QIS;PRO;COP;COW;OD;SIP;VOW;DUP;BUD;PUB;IS;POD;CRIB;SUQ;US;DUB;UPDO;OP;PUD;PIS;CUB;CUP;PIP;OR;ZORI;QI;BIO;BRO;OI;PI;QUIP;PUS;RIB;SI;PIU;SUP;IVY;UDO;COD;YIP;YUP;WOP
136,2,0.1746,0,
137,5,0.3086,29,AM;VIS;NU;KI;SH;HI;HIS;MAX;UNCI;DUI;MACK;UN;IS;VIG;US;CAM;SHIV;ICK;DUN;AX;CIG;SI;MA;FIG;KIF;IF;KICK;DUNK;MAC
138,5,0.2796,19,KYAKS;UT;YAKS;AY;UM;NTH;KAY;KA;KYAK;YA;SKA;JUT;KAYS;MU;AYS;MUT;MY;YAK;SKY
139,5,0.3266,30,GIN;TIN;IT;CIS;IS;TINS;PSI;TIC;GIT;NIT;SNIT;GINK;CIG;KNIT;SI;NIX;INK;SIN;GINKS;IN;SINK;TICS;INS;TIS;SIC;INKS;SIT;GINS;XI;TI
140,4,0.2582,27,DO;AVE;OW;DOC;COX;DOW;WO;CUD;UVEA;COW;OD;OWN;COZ;AVES;DOWN;SEA;VAU;ES;DUE;CUE;DUES;UDO;EAU;COD;AE;OX;CUES
141,5,0.3654,86,AM;CON;AH;SHA;REX;IAMB;OWN;BAS;WON;COXED;ABS;AHI;CODE;QI;CHAI;SHAH;DEV;RE;REDONS;CONS;REDON;SNOW;OW;SH;ODE;WONS;EX;ON;SHAM;HA;REDOX;DOWNS;CHAM;BA;VEX;DONS;COD;HAHS;EXON;DEX;BAM;AI;COX;HI;REC;ER;MASH;MAS;HAM;DOWN;IAMBS;DON;BAH;EXONS;AS;MA;HAS;NOD;DO;CODEC;NOW;DOC;CODEX;DOW;ASH;WO;COW;OD;CODER;AB;HASH;AHS;BASH;OWNS;ONS;SAB;RED;REV;DE;HM;NODE;ED;NO;HAH;REDO;OX
142,4,0.2591,21,NUMB;RUMBA;NU;UM;NURD;AB;MI;UN;CRU;QI;AX;MU;BA;URN;DRUM;CRUMB;MUN;NURL;RUM;URD;RUN
143,2,0.1897,2,ZA;FA
144,3,0.2552,28,YOCK;COL;YE;LOCK;LYE;COKE;YOKE;YOK;COY;CYMOL;YO;YOM;MOKE;COKY;OY;LO;MOLY;OM;MOC;COLY;KEY;MY;OKE;MYC;MO;MOCK;MOL;KYE
145,2,0.1944,13,HAT;WHAT;AW;TAW;AH;TWA;HA;TA;WHA;THAW;WAT;HAW;AT
146,2,0.1883,3,AW;OW;WO
147,5,0.4723,89,GUYS;HUES;HO;GUSH;HEH;TEG;XU;TOG;US;EGG;TO;HOTTIE;EXES;TIE;ET;ES;TIES;NETT;HEN;GEN;HET;GUY;HUG;YES;NET;SUIT;NE;SH;SHE;EX;HEX;IT;ENG;UGH;TEUGH;HOTTIES;SEXTO;SEI;HE;HEHS;UGHS;HEXES;JO;TEGG;USE;HEUGHS;HOT;HOGTIES;HOGGET;HOGG;HETH;TEN;EN;SEXT;SUITE;HEUGH;GHETTO;HOG;EGO;GOTTEN;NEG;SHH;EH;XI;SUE;TOTE;THO;OH;YE;HOGTIE;GOTH;ETH;TOT;JOG;SHEUGH;NEXT;JOT;SUET;NEXUS;HUGS;SUGH;UH;GOT;GET;SEX;EXIT;HUE;GO;TI
148,5,0.8473,176,WE;EL;YUM;TWAE;SLAKES;AWA;SEALS;TA;UM;MEATAL;EM;AA;TEAK;SICES;SLATY;WAES;CWM;TIKI;TAKES;TALE;IS;XU;YULE;SIKES;ME;XYLEM;LEAP;SICE;TYKES;SECS;TEAT;LAKE;TIE;ET;ES;WAKES;TIES;MULE;KIT;TELA;ALS;EMU;EAT;LAW;CAKES;PAC;TAE;TIKIS;TEAL;KAPH;TYKE;ELSE;SEIS;MEW;LEAK;PAT;LAT;WALY;CAPH;ALE;YLEM;ATAP;MEAT;SIKE;AL;TEL;IT;MEATY;TAELS;TIKES;TAKE;LUX;SIKA;YIKES;LUM;LAKY;SEA;LATKE;SEI;PACT;SLAW;LATKES;TAKA;AAL;KAES;METH;WEAL;MEL;WAE;SLAT;MEAL;TWAT;MELS;PATY;TEW;KEA;MET;ALUM;ELM;LEA;CIS;TAW;KATA;WAP;WAW;TELS;TWEAKY;KA;SLUE;WET;WAKE;AWAKE;AWE;KALE;ICE;WATAP;MEALS;ELS;MU;LEU;PA;SICS;LEAKY;WALE;TIKE;TEA;AE;TEALS;KIS;KI;MEALY;ALME;QAT;ICES;ACTA;SLY;ACT;ETH;AT;SLAKE;SLUM;LATI;TAP;CAT;SLEW;WEAK;IKAT;LAKES;CAW;WAT;CAKE;PHT;TI;LA;TWEAK;KAE;AW;KAT;PAW;APT;CAKY;SEAL;LEAPT;SI;SEAT;WEALS;TWAES;SEC;SIC;CAP;TWA;TAEL;AWAKES;LET;TELAE;AALS
149,4,0.3628,55,WE;HETHS;WETS;PST;PHEW;CHETHS;TEW;HEH;SH;HEST;ETH;PE;HETH;SHE;STEW;WEST;ETHS;PEH;JETS;WHET;HETS;HES;KEP;PHT;SEW;WET;CHEST;THESP;JET;PETS;PET;ET;CHEW;ES;PEST;STEP;HEP;PES;CHETH;HEW;JEW;HEHS;HE;HET;SET;SHH;THEW;EH;THE;WHETS;PEHS;SHES;JEST;PEW;SHEW
150,5,0.5332,106,WE;SLAB;TWAE;DIME;SABE;VIALS;WED;DIALS;EM;SIM;WABS;CWM;WAX;BET;MI;BAS;IS;BLAB;ALBS;ABS;ME;LAB;LAV;BLAE;VAW;MIX;MIS;ET;DIVA;LABS;VISA;ALS;ALB;LAW;TEAL;VIS;DIAL;MEW;SAL;AIS;WEB;ABET;AL;AID;SAID;DIVAS;XIS;AX;SLAW;AVID;BA;LAX;BLAW;BE;WEAL;MID;WAE;LAID;AXIS;SAE;AI;VIAL;TEW;VIM;DIS;ZED;BAL;WAS;WET;WEBS;BLABS;AWE;TWAS;SAW;AS;DEW;TEA;WIS;AE;TEALS;XI;DIM;VAS;VIA;AB;AIMED;WAB;AIM;VID;MED;LA;SIAL;TEAS;SAB;DE;AW;LAS;SAX;BALS;SI;SIX;ED;WEALS;ISBA;ID;TWA
151,2,0.205,9,SUE;CUE;ECU;SEC;ES;ECUS;USE;US;CUES
152,4,0.4476,99,SASHED;DEANS;FADS;ZEP;ESS;PE;ADZ;SANS;FASHED;PEH;FAD;PEA;US;DEADS;SASH;ASHED;ASHES;PEAN;FAZE;SUED;DASHED;ES;SNASHES;SHED;PEDS;PEHS;NAE;ZEDS;SHEAS;ZA;FASHES;SH;SHE;PED;FAN;DEAD;SASS;USED;PEANS;SEA;SASHES;DAZED;HE;SHES;USE;ADZED;DASHES;FAZED;SASSED;SAE;DAZE;AD;ZED;ADS;NA;HES;AS;DUE;SAD;PES;ASS;DAZES;EH;ADZES;AE;SUES;SHEAFS;FASH;DASH;SUE;DANS;AN;USES;FA;NANS;ASH;ZAS;DEAN;NAN;SHEA;EDS;DEAF;DEASH;FAZES;ADZE;SNASH;DE;SEAS;HEP;SHEAF;ED;PEAS;FAS;DUES;DAN;HEAD;SHEDS;FANS;HEADS
