simulation_num,N,seconds,word_count,word_list
17,4,0.2572,27,OXY;DOOR;DO;DORY;GYRO;OD;DOOZY;YO;OOZY;YOD;OY;ODD;DOODY;OR;ZOO;DOZY;ROOD;ROD;ORYX;BY;DORR;DRY;DOXY;DOR;OXO;OX;DORM
18,2,0.1584,0,
19,5,1.0656,286,LEX;EL;ATE;LINT;AH;HEILS;SHA;SCAR;ASHEN;HASTE;TA;SAC;JOLE;ORALS;LINE;SUBAH;THAWS;PIC;ETHS;LENT;SIP;WABS;LACS;UN;WAX;BAS;IS;HETS;ORAL;TAU;ABS;HAWS;US;AHI;SUBA;OLEIN;TAUS;HALE;BAHT;ETHICS;STELAR;QI;ET;SUBSCALE;BUST;SWATHE;SALE;ETHICAL;HAOLE;ENTASIS;HEN;SWATHS;SCALENI;ISBAS;HET;ILEX;LIEU;LIN;IN;TABS;TELA;THE;HALTS;ALS;CASBAH;VISA;HATE;SAU;ISLE;BAHTS;SHAT;RASH;SWAT;STEIN;JOLT;SUBS;THIS;NET;OASIS;VIS;RAH;CAROLS;SAL;NE;SISAL;SH;BIS;PICA;SHE;ALE;EX;ETHICALS;AL;HAJ;TEL;HEX;WAST;LINTS;ALIEN;WASTE;SUBAHS;HA;SIBS;THAW;SAT;LETS;BUS;SAWS;LASH;HENTS;SCALE;ISLET;TABUS;PIS;TABU;HAT;SUBAS;AXE;TAS;SUBSALE;AXELS;AX;TAX;SHAW;BA;SALIENT;AXEL;HASTEN;HEIL;HE;NETS;HALO;ELHI;HAO;ETAS;JO;ROLE;BATS;HIP;CAROL;HATS;NIL;WATS;ALT;STAB;BATHE;NILS;ELINTS;ETA;SAHIB;SWATH;HAST;ORA;HABU;SAHIBS;SATE;HALT;ALTS;STASIS;WAXEN;NTH;BI;HI;HIS;STABS;CICALE;STAW;TEN;LIEN;CAR;HABUS;TEXAS;EN;CIS;TAW;VICAR;BUSTLE;TELS;CAJOLE;AHA;TSUBA;BASIC;SALINE;WAS;LEI;SHIV;LI;LAR;BAST;ELS;ASCI;LEU;ISLETS;SAW;BAH;AS;BUSTLINE;SICS;ETHIC;SIB;SHAWS;JOLTS;SHENT;HAS;EH;HIC;CAROLI;BATH;LIE;HASLET;BASTE;UNETHICAL;HAW;SHELTAS;TAB;SHALT;CASHAW;BATE;THEN;JAR;SABS;OAR;SUB;NU;SHEILA;SWABS;ETH;RALE;LAC;ASH;AT;THEIN;HELO;ALINE;SALTS;SUBTLE;CASH;AB;TAWS;BATHS;NEXT;SIS;WAB;CALO;VISAS;AHS;WAT;RAJ;SUBVICAR;HASLETS;LA;BAT;PICARO;LO;ELINT;AHIS;SAB;OR;AW;LAS;SAX;OLE;CASHAWS;PI;PICS;AR;BASIS;SI;ATLAS;SWAB;ISBA;PISH;SHIVS;SALIENTS;RAS;SIC;SHELTA;LET;HENT;SHALE;SALT;PICAL;PICAS;SHIP;STELA;BASICS
20,5,0.5329,95,SUKS;NUTS;SHY;TUSHED;TUSH;BENDYS;STUD;MI;UN;DUST;XU;UNSUNK;US;TUN;MIX;DUNTS;MIXT;HEN;SHED;BENDY;THE;SYN;TSKS;TSK;BEND;DUNK;BED;TUSK;NE;SH;EDHS;SHE;TUNS;NUTSY;STUNS;EDH;IMP;SHEND;ENDS;BEDS;THY;SUNS;BE;HE;UNS;XYST;MY;UNDY;DUSK;DUNKS;UT;XYSTUS;TUSKS;NTH;EN;PIX;STUN;UTS;DUN;END;STUDY;NUS;DEN;NUN;DUNS;SUNK;EH;UNMIX;BENDS;XYSTS;XI;THEN;SKY;SUN;NU;NUNS;SUK;UNMIXT;DUSTS;NUT;EDS;DUSKY;BYS;PHT;STUNK;DUNT;DE;NEB;DUSKS;PI;DEB;ED;BEN;BY;TUSHY
21,2,0.1761,12,GRAY;GAY;RAY;RAG;AY;GAR;RYA;YAR;AR;YA;AG;YAG
22,5,0.6427,156,LEX;LUG;NUTS;EL;LUTE;LUNGI;TUNG;ETUI;SELS;SLUT;BUD;UN;LUTING;XU;TING;GIE;UGLY;BUNK;GIT;TUN;NITES;UNITE;SLUES;TIE;ET;NUKES;TINKLE;INKLE;ES;TIES;SLUNK;SLUING;UNGUES;SET;HULK;IN;HULKS;STIES;KNITS;TUI;STEIN;DUNK;LEST;EX;TEL;IT;DUNITES;SLUNG;NITS;KUE;ELUTING;LETS;STUNG;LUX;UNITES;KUES;GUNITE;DUNITE;SEI;UNIT;KNIT;LUNY;DUNGIEST;BUY;INK;TUG;LUTES;LUNIES;GUTS;GNU;UKE;DUKE;UT;GUEST;GUNITES;NUB;GIN;TIN;TINGLY;TINY;HUB;SEXT;GULES;SEL;STINGY;SLUE;TELS;SLUTS;GULS;UTS;STUN;LEI;DUN;SLUG;DUNGY;LUNG;GUL;ELS;LEU;LUNK;LEKU;YUK;GITS;BULK;GUT;KOR;STINK;BUN;BULKS;GITES;DUNG;LUNIEST;ROUX;NITE;GUN;BUNG;GUNK;NU;ELK;UTE;ULU;UNITS;GIES;NUT;UKES;UTES;INKLES;NUKE;ELKS;DUB;SEXTS;TI;KEX;STUNK;NIT;SETS;TINKLES;GINK;LEK;OR;TULE;SLUB;LUTEIN;TULES;GITE;INLY;ITS;STING;UH;DUKES;LUES;BY;SEX;LET;OX;LES
23,4,0.2537,44,DIGIT;UT;SKIT;SKI;TUIS;KITS;MIC;IT;MI;CIS;XU;IS;ZIG;UTS;TIC;GIT;TI;TUX;ZITS;MIX;KIST;GIST;XIS;DIGITS;CIG;MIXT;SI;GITS;ITS;SIX;CIST;ZIT;KIT;DIG;TIS;ID;SIC;SIT;KIS;TSK;KI;XI;GID;TUI
24,4,0.3487,49,ECRU;URB;OBA;DAB;RUDE;BOB;BAUD;CUD;ABDUCE;BOMB;CUR;FE;DAUB;BABU;AB;ECU;AD;BUD;BOA;CRUDE;FED;EFS;ABDUCES;DUB;EF;DEF;CRU;CRUD;DE;ES;DEVS;DUCE;MOA;FES;ABO;BA;ED;OM;BAD;CURB;CURD;CRUDES;DEV;BO;SEC;MO;MOB;DUCES;URD
25,4,0.2342,14,RUBS;RUG;BUS;JUG;GRUBS;BURG;SUB;BUG;RUB;BUR;GRUB;SUK;US;JUS
26,4,0.2583,16,KOHLS;SPY;HO;HYP;HYPS;SHY;OH;SLY;SHUL;SH;KOHL;OHS;YUKS;YUK;SKY;UH
27,2,0.1993,8,HO;THO;OH;OFT;OF;HOT;TO;FOH
28,5,0.606,159,JADE;HO;CODES;CON;JAYS;SAC;TA;ACHED;GECK;EYAS;CODE;EACH;CODAS;ASK;SKEG;HON;TACHE;ES;DECAY;EYE;DECK;AYS;OCAS;HECKS;GYTTJAS;CEASE;ACES;DEY;EAT;YES;HEY;ODA;TAE;DEYS;HECK;AY;OW;EASY;ODE;HONDAS;ADO;ON;CASED;CASK;OCA;ONCE;ACNODE;SAYED;SAT;DAYS;YA;ACNODES;TACHES;CODA;SEA;DEACON;TAS;DESK;DACE;ODES;TASK;JAY;CAY;HE;NODES;EYED;COD;JO;AYE;YEAS;SAE;SECOND;EYES;CATTY;KEGS;GEY;AYES;SAY;SADE;AD;TACNODE;CECA;ODEA;ZED;DECAYS;HES;COZ;YEH;JOW;TACH;CAD;ACHE;DON;DACES;ATT;AS;SAD;GYTTJA;HEAT;DAY;EH;KEYS;NOD;ACHES;TAD;AE;YEA;GECKS;DECO;KEY;YECH;TYE;DO;OH;YE;CODEC;CHEZ;CADES;DOC;AT;EASE;JADES;CADE;WO;TACNODES;OHED;CHEAT;CAT;OD;CHECKS;ODAS;TAJ;HONDA;TACES;KEYED;ECHO;KEG;NOH;SEG;HOD;DECKS;DE;CASE;CHON;NODE;TACO;ED;SEAT;NO;TACE;ACE;SEC;HEAD;COHEAD;ACED;TYES;CODECS;CAYS;CHECK
29,4,0.3534,33,LYCH;KEF;FENCE;FECKLY;FEE;NE;FA;FLY;FEN;FE;EX;EN;WYCH;PAX;NEAP;KENCH;FEH;NECK;CHEF;EF;NEE;FAX;AXE;KEN;AX;FECK;PA;HEN;HE;EH;WHY;AE;HECK
30,2,0.1984,1,KURU
31,4,0.4068,59,REM;AMU;GUM;AM;REG;UP;GEM;HER;MUG;PUR;UM;MAUGER;ERR;FUR;EM;REAM;RHEUM;MUGG;FE;UVEA;ER;UGH;HUGE;HUGER;ME;MEG;RHEA;FEH;EGG;REF;FEM;URP;EF;AUGER;REV;GEUM;MU;FER;MAE;HERMA;HUM;FEU;MA;UH;HE;VEG;EH;EAU;RE;HEM;PURR;HUG;AE;EMU;HERM;HUE;UREA;GERM;PURE
32,3,0.2056,1,WYN
33,2,0.197,3,BE;JEE;BEE
34,4,0.2534,18,EN;NEG;GEN;LOX;LO;ENG;GOX;OX;NE;JO;LOO;NTH;GENT;GO;JOG;LOGO;GOO;LOG
35,2,0.1839,0,
36,4,0.2205,4,CUB;UP;CUP;PUB
37,5,0.9358,227,LIEFLY;WE;EL;LUTE;TURF;PEEL;ZEP;ETUI;PE;WED;DILUTE;EM;UTTER;FRET;TIL;DUI;LEE;FRY;DURE;MI;LEZ;TED;FERE;FURY;REP;ME;MEED;EF;FEEL;REDEEM;LIED;QI;ET;FEET;FETE;REE;WRY;LID;DERE;TURFED;LYRE;DIET;REFT;EFT;FLITED;REFUTED;LIEU;PEED;TEPID;ZEE;MEETLY;LITE;RE;TUFTED;MITE;RETIME;REFUTE;DEEP;RUED;REFELT;DEIL;EIDER;TEEM;FLITE;REDE;TUI;UTTERED;PIER;EEL;LEERED;LIEDER;MELTER;MILTY;RUDE;FET;REEFY;FEUD;MELTY;REFEL;PED;DIETER;LUDE;LEFT;TUFTILY;TEL;TURFY;IT;MITER;FED;METERED;FLYTED;FUD;PEERED;LIPE;DIEL;PIED;DEFY;DEF;ITEM;PER;PET;ERE;FER;MEET;MITY;PELTED;PIU;TEEL;LIME;DIP;MEL;RETEM;TUFTY;TEED;TUTU;LIEF;DEE;MITERED;UT;FREE;DUET;REEF;FEE;TEW;MET;LEPER;TYRED;LITER;ELM;WERE;ER;PLIE;DEFT;FEEDER;DIE;DEEM;PELT;WET;EERY;LEFTER;REF;LIER;LIT;LEI;PIE;LI;FLYTE;LIP;MILTER;FEZ;FETED;UREIDE;METED;REDIP;ETUDE;MELT;DUE;FEU;DEW;TEE;WUD;PELTERED;PEERY;LEERY;METE;MILTED;PEE;PERE;PLIED;LIE;RET;REI;PETER;FLIT;TIME;REPEL;MIL;REFLY;TUT;LEER;LIEFER;UTE;DEFTLY;LEFTY;TYRE;FUR;FLY;LUTED;FE;TULIP;TEPEFY;MILT;FEUED;FELT;PLIER;DILUTER;EIDE;RUE;FEM;RUT;EMIT;RETE;DEET;LEET;RED;MELTED;FELTED;DE;REEL;PEER;PELTER;PIETY;METER;PI;ED;REEMIT;TUFT;FEED;TERETE;TUFTER;PETERED;REDEFY;TUTUED;ID;LET;TI;FURZY
38,5,0.6562,101,HO;LUV;AH;SAC;ULTRA;RACE;YOK;CHARDS;HUT;AHOY;US;DURA;SURAH;SARD;LUAU;AULD;IVY;SAU;HURT;HURDS;TUI;CHART;ZA;ULUS;RAH;SAUL;HARDS;LUAUS;HART;IT;ECU;RHO;COG;SAUCE;YO;HA;ARVO;CARD;HARL;OY;YURT;URUS;SAUCH;HE;SURD;JO;DURAS;HOY;CAULDS;ECHARD;URD;AZO;UT;CAULD;HAUL;ART;CHARD;CAR;DUH;COY;ECHARDS;COZ;HURL;ACHE;CARDS;SURA;TURDS;HOG;AS;CART;GOY;WUD;RHUS;HAS;JOY;EH;TRACE;SULU;OH;CHAR;TURD;CAUL;JOG;ULU;CARL;ZAS;SUCH;HARD;RUT;ECUS;SAULT;AR;UH;HAH;ACE;TIVY;URDS;RAS;GO;TI;ULTRAS
39,3,0.2888,41,MOAN;AM;AMIN;AI;TIN;VIAL;AN;LOAM;VIM;MAIN;VIA;AL;NAM;IT;MI;AIM;MINA;NA;LOAN;LA;NIT;LO;LAM;MAN;ANI;AIT;MOA;VINA;OM;MA;VINAL;IN;MO;NIM;AIN;MOL;MOLA;AMI;LAIN;TI;OMIT
40,4,0.3369,58,PALS;SLAB;SLYLY;AY;SAL;LAY;SLY;BAY;JAYS;PALY;BALK;ABLY;LAYS;PAY;KAY;KAB;AB;AL;SAY;KAS;YAP;SAP;BAS;PLY;BAL;SLAY;KA;PAS;PALSY;LAB;YA;LA;BAYS;JAB;BAP;SAB;SLAP;PYAS;PLAYS;LAS;LAP;KAYS;PLAY;AYS;BALS;BA;AS;PA;PYA;JAY;GYP;PAL;ALS;SALP;ALP;ALB;YAK;PAYS
41,3,0.267,29,SUE;WE;PEP;UP;ZEP;PE;SO;SPEW;PUG;PEG;SEW;OSE;US;PEPS;SPUE;SEG;ZEPS;OS;UPS;OE;ES;PESO;PUS;PES;SUP;SUPE;PEW;USE;OES
42,5,0.3109,25,UT;FOX;OF;VIM;FOU;DUI;IT;MI;XU;OFT;FUD;OUD;TUI;TUX;MIX;VOX;MIXT;UH;DUIT;OX;JO;OUT;XI;TI;DUO
43,4,0.3119,43,AZON;ZA;ZONA;AN;TA;AT;AG;DANG;ZONK;GAN;ON;ADZ;TAN;AD;GAD;GAT;NOG;NA;KA;AGOG;DANK;AZO;ZAG;TAG;TANGO;AGO;KAT;GONG;TANK;NO;DAK;NOGG;GNAT;NAG;GANG;DAN;DAG;TAD;GO;TANG;GONAD;AGON;DAGO
44,5,0.3831,70,HAZY;HO;AM;DO;ZA;OH;RAW;RAH;WHAT;ART;AH;SHOD;MAZY;SHA;SH;TA;TRAM;WAWS;OHS;AT;SHWA;MAWS;SHAWM;OD;TAWS;RAZZ;HART;SHAM;ODYL;HAWK;WART;TAW;HA;YO;WAW;AHS;WAT;YOD;HAM;HAWS;MAT;OY;TAR;RAM;HAT;HOD;AW;HM;MART;RAT;RAWS;WHA;DOZY;AR;WHO;SHAW;SWART;MA;MAW;TAM;SHH;WHAM;MAR;TWA;HOY;SWAM;WAR;HAW;SHAT;SWAT
45,5,0.3033,6,UT;BY;SHY;TRY;HM;SH
46,3,0.1899,0,
47,5,0.652,165,GUM;AM;YOU;GAE;GAM;UM;FUTZ;AG;GAN;GAD;UN;MADS;DOTY;GADS;TO;TUN;CODAS;GUCK;VANG;GAES;ES;SAGUM;MAD;DUTY;COLT;TOY;AGS;GUMS;MUN;NAE;DOL;DANGS;ODA;MAGS;OUT;TUGS;LOT;AMU;NAGS;YOCK;DAM;FUGS;LOFTY;ADO;NAM;FUG;DEAD;KVAS;VANGS;YO;DADGUM;FUN;FUD;DANK;OY;SANG;CLOUD;CODA;SEA;DUGS;DADO;GAMUT;DESMAN;TOFU;TUG;CLOY;CLOD;COD;TUFTY;MUGS;TUCK;VAN;DAD;UT;SAE;MUG;LOCK;DUG;MAES;DADS;VASE;DUCK;MAG;COY;SADE;AD;ADS;NA;DUMA;MAS;CLOUT;COZ;MADE;DUN;ZLOTY;CUT;FUCK;SAG;MU;MAE;AS;SAD;GUT;MA;NAG;MUT;UDO;SANK;AE;ANDS;DAGS;MUD;SEDAN;DAMS;VAS;LOUT;GUN;DO;COL;DOLT;AN;OF;NU;DOC;FUGU;CUD;FOU;AND;DANG;OD;LOUD;DEAN;TOD;NUT;EDS;GAS;ODAS;OFT;DESAND;SMUG;DOCK;SAND;CLOT;LOFT;OUD;YOD;DUNT;SMUT;LO;GAED;DE;MAN;COFT;GAMS;ED;TUFT;COLY;DUMAS;DAN;DAG;SEAM;FOY;COT;DOT;DUO
48,4,0.4324,65,WE;HO;WEN;OH;YE;NEWBIE;NE;BI;WHEY;NEW;WIN;BOG;GEY;GENE;OBE;YEN;WEB;EN;NEWIE;WINEY;HOB;GHEE;HEWN;WHEE;YEW;HEIR;EWE;OGEE;WINE;YEH;GOB;WHEEN;EYEN;NEE;WEE;BOGEY;WEIR;BIN;GENIE;OE;HOG;EGO;EYE;WHO;HOE;RIB;HEN;HEW;BE;BINE;RIN;GEN;NEG;HE;EH;IN;BO;WEENIE;WHEN;HEY;WEEN;GO;GEE;NIB;BOGY
49,2,0.1847,1,SH
50,2,0.1831,0,
51,2,0.1929,7,OD;DO;BO;BOD;BOP;POD;OP
52,2,0.1872,5,OD;DO;BO;BOD;KOB
53,2,0.1902,6,FAVE;AVE;EF;AE;FA;FE
54,5,0.3258,42,AI;DUAD;BI;WADY;WITE;BIT;WAD;DUI;TIL;EX;IT;CWM;AD;BET;AID;DUD;DAW;QUAI;WILD;IBEX;BLITE;LIT;YID;LI;AW;QI;ET;WIT;WADI;QUA;QUAD;BITE;BE;AWL;WUD;LIB;LIQUID;LITE;QUID;ID;TI;DAD
55,3,0.2341,15,JINX;SUE;EN;IN;YE;JIN;SEI;NE;ES;EYNE;JEU;SEN;USE;US;JUS
56,5,0.3146,40,HO;OH;MM;HONKY;PHON;NOM;YON;YOK;MONY;HOMO;ON;HYMN;YO;PHONY;YOM;POM;OP;MONK;NOH;OY;HOP;OHM;NYMPH;HMM;HONK;HON;NYMPHO;MON;MHO;HM;POMO;OM;MOP;NO;POH;MY;MO;HOY;HOMY;OHO
57,2,0.1803,0,
