simulation_num,N,moves,seconds,word_count,word_list
83,3,116,0.1684,7,TO;GOT;JO;JOT;GO;TOG;JOG
84,3,82,0.163,0,
85,3,232,0.1879,25,JAG;BA;AX;AG;TAG;TAX;TAD;GAT;TA;AB;CAB;BAD;JAB;BAT;GAD;TAB;CAD;CAT;AD;TAJ;AT;BAG;DAB;GAB;DAG
86,3,506,0.2612,17,OH;NO;ON;HOOD;OD;NOO;NOD;HON;OHO;NOH;NOON;HOD;OOH;ONO;DON;DO;HO
87,3,500,0.2686,44,ANE;CAIN;TIN;AIT;IT;KNIT;WE;NICE;TIC;ANT;ACNE;WENT;ANTI;CINE;CENT;NEW;ANTIC;NIT;ANI;KIT;INK;KINA;KIN;NE;EN;TINE;CAN;ANEW;AI;AIN;AN;CANT;KNEW;NA;ACE;KINE;TI;IN;WEN;ENTIA;ICE;NEWT;KI;CANE
88,3,439,0.252,41,AIT;LATI;IT;QI;AE;TIL;LIT;AIL;LIE;ALIT;ALE;LAY;TAIL;LAITY;AL;TIE;BI;LEI;EAT;TALE;EL;LI;BY;LIB;AI;ILEA;AT;TAEL;YA;TAE;AY;LA;TILE;LAT;LEA;TALI;BIT;BIALY;TA;TI;BILE
89,3,141,0.1851,9,SLY;XU;UM;MUT;FLY;MU;VUM;UT;TUX
90,3,360,0.2311,27,MIX;SIM;MI;MIG;IVY;SIX;AS;XIS;ISM;AIMS;VIG;VIMS;XI;AIS;VIM;IS;AIM;AYS;SAY;AI;VIS;VIA;YA;AY;MIS;VISA;SI
91,3,211,0.1921,8,FRO;NO;OF;ON;NOR;OR;FOR;FON
92,3,276,0.2162,11,IF;BUB;FIB;FUJI;JIBB;KIF;FUB;JIB;BI;BUBU;KI
93,3,251,0.2127,24,WHIZ;PI;MIX;MI;HIP;HIM;WHIM;ZIN;HI;XI;NIX;WIZ;WHIN;ZIP;PIX;PIN;NIM;WIN;NIP;IN;WIMP;HIN;IMP;WHIP
94,3,158,0.1771,13,BE;BY;OM;BEY;OE;MO;MY;BYE;EM;OX;ME;YE;EX
95,3,154,0.1779,9,BO;VOX;VOW;XU;BOW;OX;WO;OW;BOX
96,3,411,0.2319,27,GYRE;ROE;BEG;ORC;BE;CRY;EBB;ROB;CYBER;REG;ORB;BY;BORE;OE;ORBY;BYRE;ORE;RE;ROBE;GYRO;OR;OBE;BO;ER;BRO;GYBE;REB
